row_id,id,row_title,block,+/-,accounts_included,variable_name,text_field,variable_text,ib_ub,calculated,formula,Saldo,always_show,toggle_show,editable,style,item_name,Abstrakt,Datatyp,period_type,block_sub
77,772,Återförda nedskrivningar,MASKIN,+,,aterfor_nedskr_maskiner,,,,,,,false,true,true,,MaskinerAndraTekniskaAnlaggningarForandringNedskrivningarAterfordaNedskrivningar,false,xbrli:monetaryItemType,duration,NEDSKR
78,773,Omklassificeringar,MASKIN,,,omklass_nedskr_maskiner,,,,,,,false,true,true,,MaskinerAndraTekniskaAnlaggningarForandringNedskrivningarOmklassificeringar,false,xbrli:monetaryItemType,duration,NEDSKR
79,774,Årets nedskrivningar,MASKIN,-,,arets_nedskr_maskiner,,,,true,ack_nedskr_maskiner_ub-ack_nedskr_maskiner_ib,,false,true,true,,MaskinerAndraTekniskaAnlaggningarForandringNedskrivningarAretsNedskrivningar,false,xbrli:monetaryItemType,duration,NEDSKR
80,775,Omräkningsdifferenser,MASKIN,,,,,,,,,,false,,,,MaskinerAndraTekniskaAnlaggningarForandringNedskrivningarOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,NEDSKR
81,776,Utgående nedskrivningar,MASKIN,,1218,ack_nedskr_maskiner_ub,,,UB,,,credit,false,true,,S2,MaskinerAndraTekniskaAnlaggningarNedskrivningar,false,xbrli:monetaryItemType,instant,NEDSKR
82,777,Redovisat värde,MASKIN,,,red_varde_maskiner,,,,true,maskiner_ub+ack_avskr_maskiner_ub+ack_nedskr_maskiner_ub,debit,true,,,S2,MaskinerAndraTekniskaAnlaggningar,false,xbrli:monetaryItemType,instant,
83,778,Kommentar till not,MASKIN,,,,,,,,,,false,,,,NotMaskinerAndraTekniskaAnlaggningarKommentar,false,xbrli:stringItemType,duration,
84,779,"Inventarier, verktyg och installationer",INV,,,,,,,,,,false,,,,NotInventarierVerktygInstallationer,false,xbrli:stringItemType,duration,
85,780,"Inventarier, verktyg och installationer",INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerAbstract,true,xbrli:stringItemType,duration,
86,,Anskaffningsvärden,INV,,,,,,,,,,true,,,H3,,,,,
87,781,Ingående anskaffningsvärden,INV,,1220-1227;1230-1237;1240-1247;1250-1257,inventarier_ib,,,IB,,,debit,true,,,,InventarierVerktygInstallationerAnskaffningsvarden,false,xbrli:monetaryItemType,instant,
88,782,Förändringar av anskaffningsvärden,INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerForandringAnskaffningsvardenAbstract,true,xbrli:stringItemType,duration,
89,783,Inköp,INV,,,arets_inkop_inventarier,,,,true,inventarier_ub-inventarier_ib,,true,,,,InventarierVerktygInstallationerForandringAnskaffningsvardenInkop,false,xbrli:monetaryItemType,duration,
90,784,Rörelseförvärv,INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerForandringAnskaffningsvardenRorelseforvarv,false,xbrli:monetaryItemType,duration,
91,785,Fusion,INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerForandringAnskaffningsvardenFusion,false,xbrli:monetaryItemType,duration,
92,786,Försäljningar/utrangeringar,INV,,,arets_fsg_inventarier,,,,,,,false,true,true,,InventarierVerktygInstallationerForandringAnskaffningsvardenForsaljningarUtrangeringar,false,xbrli:monetaryItemType,duration,
93,787,Omklassificeringar,INV,,,arets_omklass_inventarier,,,,,,,false,true,true,,InventarierVerktygInstallationerForandringAnskaffningsvardenOmklassificeringar,false,xbrli:monetaryItemType,duration,
94,788,Omräkningsdifferenser,INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerForandringAnskaffningsvardenOmrakningsdifferenser,false,xbrli:monetaryItemType,duration,
95,789,Utgående anskaffningsvärden,INV,,1220-1227;1230-1237;1240-1247;1250-1257,inventarier_ub,,,UB,,,debit,true,,,S2,InventarierVerktygInstallationerAnskaffningsvarden,false,xbrli:monetaryItemType,instant,
96,,Avskrivningar,INV,,,,,,,,,,true,,,H3,,,,,
97,790,Ingående avskrivningar,INV,,1229;1239;1249;1259,ack_avskr_inventarier_ib,,,IB,,,credit,true,,,,InventarierVerktygInstallationerAvskrivningar,false,xbrli:monetaryItemType,instant,
98,791,Förändringar av avskrivningar,INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerForandringAvskrivningarAbstract,true,xbrli:stringItemType,duration,
99,792,Fusion,INV,,,,,,,,,,false,,,,InventarierVerktygInstallationerForandringAvskrivningarFusion,false,xbrli:monetaryItemType,duration,
100,793,Återförda avskrivningar vid försäljningar/utrangeringar,INV,,,aterfor_avskr_inventarier,,,,,,,false,true,true,,InventarierVerktygInstallationerForandringAvskrivningarAterfordaAvskrivningarForsaljningarRespUtrangeringar,false,xbrli:monetaryItemType,duration,
